date,tid,open,high,low,close,volume,mid,range,fac0,avg,s3,s7,s14,s21,s35,s49,s75,s100,s150,s200,s300,s400,s500,s600,s800,s1000,s1500,s2000,s3000,ma_close,ub,lb
2022-10-28/11:30:00,1,2956.1091,2967.6028,2953.4781,2958.2534,1677821800,2960.54045,14.1247,197.227835,-240.119089,1707.948397,1118.114687,790.6264776,645.5438157,500.0360895,422.6076286,341.5896794,295.82534,241.5403787,209.180104,170.7948397,147.91267,132.2971139,120.7701893,104.590052,93.5481864,76.38177435,66.14855697,54.0100706,3003.681702,132.46395,-170.190513
2022-10-28/11:00:00,1,2956.0796,2959.7933,2949.3413,2956.5876,2747960000,2954.5673,10.452,-210.090893,-310.827416,1706.986647,1117.485074,790.1812738,645.1803084,499.7545179,422.3696571,341.3973293,295.65876,241.4043667,209.0623141,170.6986647,147.82938,132.2226171,120.7021833,104.5311571,93.49550918,76.33876358,66.11130855,53.97965739,3005.427438,132.46395,-166.95042
2022-10-28/10:30:00,1,2962.6415,2970.0539,2953.7239,2956.324,4259507300,2961.8889,16.33,-209.222767,-317.613974,1706.834457,1117.385443,790.1108237,645.1227861,499.7099614,422.332,341.3668914,295.6324,241.3828438,209.0436748,170.6834457,147.8162,132.2108286,120.6914219,104.5218374,93.48717341,76.33195745,66.10541428,53.97484474,3007.187728,132.46395,-162.508769
2022-10-28/10:00:00,1,2967.0221,2974.236,2958.9248,2962.9043,8374842200,2966.5804,15.3112,-266.405396,-320.723096,1710.633595,1119.872562,791.8694829,646.5587253,500.8222351,423.2720429,342.126719,296.29043,241.9201231,209.5089723,171.0633595,148.145215,132.5051085,120.9600615,104.7544861,93.69526077,76.50186007,66.25255426,54.09498403,3008.790648,132.46395,-157.951563
2022-10-27/15:00:00,1,2992.0528,2992.0528,2982.9029,2982.9029,3416326500,2987.47785,9.1499,-193.038501,-245.432205,1722.179792,1127.431323,797.2143336,650.9227776,504.2026155,426.1289857,344.4359585,298.29029,243.5530019,210.9230868,172.2179792,149.145145,133.3994731,121.776501,105.4615434,94.32767203,77.0182217,66.69973655,54.46010684,3010.024776,132.46395,-154.572037
2022-10-27/14:30:00,1,2999.909,3000.2034,2990.6874,2991.7638,2134790600,2995.4454,9.516,213.937252,-5.535806,1727.295635,1130.780428,799.5825087,652.8563845,505.7003809,427.3948286,345.4591271,299.17638,244.2764914,211.5496471,172.7295635,149.58819,133.7957446,122.1382457,105.7748235,94.60787829,77.24700915,66.89787229,54.621884,3010.832868,132.46395,-156.171711
2022-10-27/14:00:00,1,2986.4342,3005.9773,2984.7551,3000.0066,2491887900,2995.3662,21.2222,228.812367,-66.924936,1732.054618,1133.895914,801.7854897,654.6551109,507.0936684,428.5723714,346.4109236,300.00066,244.9495132,212.132501,173.2054618,150.00033,134.1643738,122.4747566,106.0662505,94.86853852,77.45983734,67.08218691,54.77237625,3011.54337,132.46395,-160.69725
2022-10-27/13:30:00,1,2997.6775,2997.9775,2981.6889,2986.5024,2731126000,2989.8332,16.2886,-214.102581,-268.115429,1724.257965,1128.791806,798.1763404,651.7082529,504.811042,426.6432,344.8515929,298.65024,243.8468999,211.1776099,172.4257965,149.32512,133.5604476,121.9234499,105.588805,94.44149822,77.11116039,66.78022381,54.52582442,3012.368065,132.46395,-161.230404
2022-10-27/11:30:00,1,2996.4416,3002.9655,2992.8059,2997.4201,1982499300,2997.8857,10.1596,-206.80627,-118.140731,1730.561302,1132.918308,801.0942185,654.0906904,506.6564701,428.2028714,346.1122603,299.74201,244.7383263,211.9496079,173.0561302,149.871005,134.048702,122.3691632,105.9748039,94.7867462,77.39305419,67.02435101,54.72515344,3013.183342,132.46395,-160.999825
2022-10-27/11:00:00,1,3005.4077,3012.5885,2996.327,2996.5826,2585560100,3004.45775,16.2615,-212.89427,-62.587663,1730.077771,1132.601763,800.8703872,653.9079329,506.5149068,428.0832286,346.0155542,299.65826,244.6699447,211.8903877,173.0077771,149.82913,134.0112479,122.3349724,105.9451938,94.76026213,77.37143004,67.00562394,54.70986285,3013.798103,132.46395,-164.098885
2022-10-27/10:30:00,1,3013.1671,3017.2629,3004.7988,3005.5168,3652635000,3011.03085,12.4641,190.32915,51.001798,1735.235934,1135.978573,803.2581526,655.8575352,508.0250622,429.3595429,347.0471867,300.55168,245.3994191,212.522131,173.5235934,150.27584,134.4107974,122.6997096,106.2610655,95.04278634,77.60211009,67.20539872,54.87297828,3014.236872,132.46395,-176.831126
2022-10-27/10:00:00,1,3005.0373,3016.6056,3000.5416,3012.9533,7566000000,3008.5736,16.064,240.230494,67.537682,1739.529399,1138.789306,805.2456408,657.4803125,509.2820602,430.4219,347.9058798,301.29533,246.0066068,213.047971,173.9529399,150.647665,134.7433678,123.0033034,106.5239855,95.27794912,77.79411969,67.37168392,55.00874957,3014.641201,134.790345,-176.831126
2022-10-26/15:00:00,1,2991.5487,2999.8142,2989.9167,2999.5036,3009991200,2994.86545,9.8975,153.921173,-58.194672,1731.764211,1133.705797,801.6510573,654.5453473,507.0086459,428.5005143,346.3528422,299.95036,244.9084434,212.0969336,173.1764211,149.97518,134.141879,122.4542217,106.0484668,94.85263226,77.44684993,67.07093948,54.76319277,3015.329789,142.145489,-176.831126
2022-10-26/14:30:00,1,2991.8596,2995.7341,2988.825,2991.3912,2185824800,2992.27955,6.9091,-193.871933,-33.726954,1727.080515,1130.639598,799.4829272,652.7750765,505.6374,427.3416,345.4161029,299.13912,244.2460687,211.5233003,172.7080515,149.56956,133.7790814,122.1230344,105.7616501,94.59609565,77.23738866,66.8895407,54.61508129,3016.30989,142.145489,-181.72686
2022-10-26/14:00:00,1,3004.7062,3006.2404,2991.6516,2992.0202,2578156100,2998.946,14.5888,-246.54315,39.848967,1727.443668,1130.877338,799.6510345,652.9123356,505.7437205,427.4314571,345.4887336,299.20202,244.2974263,211.5677773,172.7443668,149.60101,133.8072111,122.1487132,105.7838886,94.61598637,77.25362937,66.90360557,54.6265652,3017.263779,142.145489,-230.83172
